Date (month/day/year),Time,1,2,3,4,5,6,7,8,9,10,11
11/07/2012,05:30:00,10.69865147,3.103213084,1.750512649,0.321977052,0.821244894,1.062034259,0.124715594,0.031928279,0.171723988,0.487642207,0.486442369
11/07/2012,06:00:00,10.70727941,3.103213084,1.704446527,0.149350801,0.862902244,0.548146714,0.174107908,0.07486631,0.275606401,0.305971581,0.640482452
11/07/2012,06:30:00,9.326808257,2.447604686,1.658380404,0.401501505,0.720077045,3.768508662,0.344511393,0.03853413,0.171723988,0.506765431,0.510764487
11/07/2012,07:00:00,0.931818031,1.923117968,1.658380404,0.275426153,1.175332367,1.98703184,0.892766084,0.075967285,0.468530881,0.545011878,0.624267707
11/07/2012,07:30:00,0.707491468,1.923117968,1.673735778,0.126075352,3.299857201,1.655859866,0.551959114,0.066058509,0.265006155,0.678874445,1.775514646
11/07/2012,08:00:00,1.337331434,1.835703515,1.658380404,0.213358288,0.865877769,2.683634956,0.514914878,0.024221453,0.267126204,0.741024922,0.510764487
11/07/2012,08:30:00,4.124157583,2.753555272,1.704446527,0.238573358,1.437178565,2.637956063,1.644764072,0.071563385,0.262886105,0.850983459,0.883703637
11/07/2012,09:00:00,0.888678308,2.491311913,3.362826931,0.19396208,1.237818391,3.243201394,1.307661525,0.024221453,0.203524727,0.396806894,0.510764487
11/07/2012,09:30:00,1.242424042,2.578726366,2.456859858,0.250211083,0.648664445,4.716345689,0.817442804,0.026423404,0.08268192,0.564135102,0.989099483
11/07/2012,10:00:00,0.96632981,2.010532421,3.501025298,0.197841321,0.773636494,2.238265751,0.99895956,0.061654608,0.067841576,0.37768367,5.221148091
11/07/2012,10:30:00,0.267466287,2.097946874,2.610413599,0.19396208,0.690321795,5.081776832,0.887826852,0.026423404,0.150523496,0.53066946,1.662011427
11/07/2012,11:00:00,1.13026076,2.535019139,2.76396734,0.287063878,0.883730919,3.391657795,0.561837577,0.178357974,0.131443053,0.463738177,1.710655663
11/07/2012,11:30:00,0.836910639,3.671407029,2.794678089,0.226935633,0.496912671,5.127455724,0.270422922,0.18386285,0.216245022,0.850983459,1.272857532
11/07/2012,12:00:00,0.422769292,2.185361327,2.641124347,0.176505492,0.877779869,1.541662634,0.365503127,0.161843347,0.152643545,0.607162356,1.321501768
11/07/2012,12:30:00,1.302819655,3.40916367,2.564347477,0.256029945,0.487986097,1.404625956,0.34080697,0.177256999,0.466410832,0.559354296,0.948562619
11/07/2012,13:00:00,0.431397237,3.977357615,2.456859858,0.257969566,1.330059665,1.199070938,0.322284852,0.028625354,0.296806893,0.511546237,0.567516097
11/07/2012,13:30:00,0.6557238,4.327015427,2.810033463,0.224996012,1.568101664,0.902158134,0.324754468,0.012110727,0.271366302,0.382464476,0.672911943
11/07/2012,14:00:00,1.13026076,4.458137107,2.671835096,0.205599804,1.216989716,0.947837027,0.396373324,0.083674111,0.271366302,0.545011878,1.678226172
11/07/2012,14:30:00,0.931818031,4.327015427,2.625768973,0.217237529,0.943241418,1.66727959,0.474166219,0.041837056,0.294686844,0.473299789,0.599945588
11/07/2012,15:00:00,2.433080415,9.834125971,2.625768973,0.289003499,0.910510643,1.815735991,0.432182752,0.050644857,0.233205416,0.42549173,0.689126689
11/07/2012,15:30:00,2.346800968,6.206426169,2.579702851,0.298701603,0.958119043,1.324687893,0.328458891,0.066058509,0.307407139,0.535450266,1.516078716
11/07/2012,16:00:00,1.406354992,6.075304489,2.702545844,0.176505492,0.842073569,0.822220072,0.401312555,0.031928279,0.231085367,0.4015877,0.437798132
11/07/2012,16:30:00,1.855008118,3.802528709,2.810033463,0.21917715,0.565349746,1.59876125,0.401312555,0.061654608,0.313767287,0.454176565,0.843166772
11/07/2012,17:00:00,1.45812266,3.321749217,6.188215768,0.296761982,0.990849818,3.734249492,0.876713582,0.079270211,0.460050684,0.793613788,0.51887186
11/07/2012,17:30:00,0.992213644,4.239600974,5.11333958,0.213358288,0.955143518,1.827155715,1.258269211,0.078169236,0.530012309,0.697997669,0.826952027
